leaf_id,node_id,depth,x1_k,x1_d,x2_k,x2_d,x3_k,x3_d,y1_k,y1_d,y2_k,y2_d,y3_k,y3_d,w0,w1,w2,w3,w4
0,19,19,0,3,0,3,0,3,0,3,0,4,0,3,-1462476728159380,-2021616399364482,1316439907071887,-4503599627370496,-719359487861939
1,20,19,0,3,0,3,0,3,0,3,1,4,0,3,-1635555171491093,-1617123171875799,1648664282885360,-4503599627370496,66654425704697
2,21,18,1,3,0,3,0,3,0,3,0,3,0,3,-647765901350478,-4503599627370496,3517456405762427,-843991647360636,703863537753805
3,22,17,0,2,1,3,0,3,0,3,0,3,0,3,-1381434466546807,-2496962473737556,3832737727572035,-4503599627370496,-1415693351532224
4,23,16,0,2,0,2,0,3,1,3,0,3,0,3,-302226914078667,-4503599627370496,3428730531953701,-1199097238195524,1692583109430208
5,24,15,0,2,0,2,0,3,0,2,0,3,1,3,-2251799813685248,-1174717320189679,479092673229758,-1433828461563222,-523683241967067
6,25,14,0,2,0,2,1,3,0,2,0,3,0,2,-1182096886681357,-4503599627370496,37591611816896,-2502526359276650,1646722961657040
7,27,14,0,2,0,2,0,2,0,2,1,3,0,3,-1840139119024445,-907145085158326,1959598072211333,-4503599627370496,2966894207479952
8,30,16,0,2,0,2,0,3,0,3,1,3,1,3,-1730031818085166,-967999733342958,1346529985763809,-4503599627370496,-406711930247410
9,31,16,0,2,0,2,1,3,0,3,1,3,1,3,113079036790507,-3919345052455506,595287871568808,-4503599627370496,2823905851828676
10,32,15,0,2,0,2,0,2,1,3,1,3,1,3,361398560843891,-4503599627370496,2342344481899640,-946039871993578,456583750014568
11,33,12,1,2,0,2,0,2,0,2,0,2,0,2,-1011090949181719,-4503599627370496,2341721280413129,-109307557328773,34113058965815
12,34,11,0,1,1,2,0,2,0,2,0,2,0,2,-1505758348018753,-1262292847759280,2251799813685248,-1615110320697726,-1069998027063206
13,36,11,0,1,0,2,0,2,1,2,0,2,0,2,-1307323376958812,-3820011309938577,4503599627370496,2577013037168770,488063766604736
14,37,11,0,1,1,2,0,2,1,2,0,2,0,2,-1137657804266312,127578524189401,2251799813685248,1720878214454578,941273146087476
15,42,13,0,2,0,2,0,2,0,2,0,3,1,2,-361174287836425,-4503599627370496,-739794081719231,-251041857690369,-2582335742757308
16,44,14,0,2,0,2,0,2,0,3,1,3,1,2,-1542670713043748,-3844517068573605,148460671757301,-4503599627370496,-1165626226700560
17,45,14,0,2,0,2,0,2,1,3,1,3,1,2,1047942837141104,-4503599627370496,968773028443804,-868815883833113,-2071297356546720
18,48,14,1,2,0,2,0,3,0,2,0,3,1,2,469393160079491,-870955839923849,3360042541066526,-922207056693509,-4503599627370496
19,49,14,1,2,0,2,1,3,0,2,0,3,1,2,-377581293983079,-1391800398432738,3541268607763391,-3032785940836912,-4503599627370496
20,51,14,1,2,0,2,0,3,0,2,1,3,1,2,836481282567550,-885593172941892,4503599627370496,-1762356794753873,-3327450721787666
21,52,14,1,2,0,2,1,3,0,2,1,3,1,2,665327360403063,-321157634495388,1125899906842624,-573841922949470,-778338622575450
22,55,13,0,2,1,2,0,3,0,2,0,2,1,2,-3756925338068912,-476093224952947,2506414210869390,-9182099918436,-4503599627370496
23,57,14,0,2,1,2,1,3,0,3,0,2,1,2,-225505788069144,-1650996342604319,1548878674838716,-2251799813685248,-1640492282007235
24,59,15,0,2,2,3,1,3,1,3,0,2,1,2,898257798218286,-4503599627370496,3442654298597894,1079880895155717,-2932902361023458
25,60,15,0,2,3,3,1,3,1,3,0,2,1,2,1093124597692728,-924027351094656,4503599627370496,103102065107691,-1589151478793423
26,61,12,1,2,1,2,0,2,0,2,0,2,1,2,-111818459741771,171472185980300,4503599627370496,-1176868633224348,-2611795572788227
27,64,12,0,2,0,2,0,2,1,2,0,2,1,2,-547929115016903,-4503599627370496,-702286752049645,2579728347482926,-1205196152118212
28,66,13,1,2,0,2,0,2,1,2,0,3,1,2,231155613682937,-2691601435978962,1914735268825365,2437091130823242,-4503599627370496
29,67,13,1,2,0,2,0,2,1,2,1,3,1,2,1699552613739239,-2251799813685248,1802999067578988,1471993966554297,-1761366382885554
30,71,14,0,2,1,2,0,2,2,3,0,2,2,3,-2864282966963913,-2403958499292546,4503599627370496,3685525161174017,755441319242630
31,73,15,0,2,2,3,0,2,2,3,0,2,3,3,2061402087478181,-1813644055854672,4503599627370496,3882225594308704,-2208198953927383
32,74,15,0,2,3,3,0,2,2,3,0,2,3,3,-45282729606453,433241825725520,4503599627370496,4246729356715524,-1378899142656874
33,76,14,0,2,1,2,0,3,3,3,0,2,1,2,-4002796127843396,1368866233705202,850280482050575,4503599627370496,-358967347450489
34,77,14,0,2,1,2,1,3,3,3,0,2,1,2,0,0,0,1,0
35,79,13,1,2,1,2,0,3,1,2,0,2,1,2,-839351911391481,2567118049651541,3342791668728786,4503599627370496,-2840526228054758
36,81,14,1,2,2,3,1,3,1,2,0,2,1,2,878923082797297,-365639649236615,1544641679130339,2251799813685248,-318015427072776
37,82,14,1,2,3,3,1,3,1,2,0,2,1,2,94621597628337,511918819792201,1105739882694352,876655994581720,1125899906842624
38,88,13,0,2,0,2,1,2,0,2,0,3,0,2,3522617208122027,-4503599627370496,235508940870351,-1009223842040076,2412498558771561
39,89,13,0,2,0,2,1,2,0,2,1,3,0,2,4503599627370496,-577894114784931,-325628043976367,-1945342877284516,3485698006440618
40,90,12,0,2,0,2,1,2,0,2,0,2,1,2,2881071246225158,-4503599627370496,-246579489106100,-2645276559348915,906759729849208
41,94,14,0,2,1,2,2,3,0,3,0,2,0,2,2551981866754301,808640376057664,1590740248268308,-4503599627370496,1423946684786982
42,95,14,0,2,1,2,2,3,1,3,0,2,0,2,621323208789282,-2251799813685248,1969187960919581,355333725024961,921725622890132
43,98,15,0,3,2,3,3,3,0,2,0,2,0,2,1,0,0,0,0
44,99,15,0,3,3,3,3,3,0,2,0,2,0,2,1411669397369170,-4503599627370496,-1051050661033314,1552006028046479,-1406383811178798
45,101,15,1,3,2,3,3,3,0,2,0,2,0,2,4503599627370496,-3901149093508093,-875511030652564,1707033922095880,283475849196595
46,103,16,1,3,3,3,3,3,0,3,0,2,0,2,0,-1,0,0,0
47,105,17,1,3,3,3,3,3,1,3,0,3,0,2,4503599627370496,-4299712493887190,-4251868562906876,-3791981939117659,4044256720456909
48,106,17,1,3,3,3,3,3,1,3,1,3,0,2,1329938463891306,-4503599627370496,-2162238419202353,-349408235545931,-1782441963890412
49,107,12,0,2,1,2,1,2,0,2,0,2,1,2,4432557608498164,-3123695006051320,4503599627370496,-2751590635707095,2615684584921472
50,110,12,0,2,0,2,1,2,1,2,0,2,0,2,3490533436377637,-1905294955616627,2242973906568660,4503599627370496,664893883891049
51,111,12,0,2,0,2,1,2,1,2,0,2,1,2,0,-1,0,0,0
52,114,13,0,2,1,2,2,3,1,2,0,2,0,2,-916665961976919,-762351336121408,2251799813685248,241151611495815,1013334727909491
53,118,16,0,3,1,2,3,3,2,3,0,3,0,2,932414893926943,-1992416475373108,-748621050206058,4503599627370496,754950847514638
54,119,16,0,3,1,2,3,3,3,3,0,3,0,2,1394572373681800,33094447613466,-405522651206392,3510308720835273,4503599627370496
55,122,17,0,3,2,3,3,3,2,3,1,3,0,2,1843078238001972,-1767485028625776,1135625726152735,4503599627370496,176411877075376
56,123,17,0,3,3,3,3,3,2,3,1,3,0,2,-345565109596990,-2098172781184770,-678376875833776,4503599627370496,-181173350577985
57,124,16,0,3,1,2,3,3,3,3,1,3,0,2,-1109225911368675,-1018206769194507,2519802918142455,4503599627370496,2433635445449034
58,126,15,1,3,1,2,3,3,1,2,0,3,0,2,708368772321559,-1163784371354542,-2505799855289244,795281731182830,4503599627370496
59,128,16,1,3,2,3,3,3,1,2,1,3,0,2,15575212486181,-1226702718895895,457946035356847,2251799813685248,659734661794215
60,131,18,1,3,3,3,3,3,2,3,1,3,0,3,-1170955954483681,-4503599627370496,-3240398097418728,3313537360778593,1116848549547475
61,132,18,1,3,3,3,3,3,2,3,1,3,1,3,-597839019552472,-4503599627370496,-674279733336499,1252651398588416,528521212144218
62,133,17,1,3,3,3,3,3,3,3,1,3,0,2,-4063688573771464,-3420514493446652,-1367209472708601,4012325527477524,4503599627370496
63,135,13,0,2,1,2,1,2,2,3,0,2,1,2,3716392006602226,-2617514645267705,4272356330006602,2858572019157288,4503599627370496
64,136,13,0,2,1,2,1,2,3,3,0,2,1,2,661845259981878,-1943644679317917,-1223425081752868,4503599627370496,4231331823830128
65,140,12,1,2,0,2,1,2,0,2,0,2,0,2,754118365765917,-4503599627370496,3087444968841886,808735426986566,782430977459961
66,143,14,1,2,0,3,2,3,0,2,0,2,1,2,4499168204027651,-2694669580780717,2968599588603982,-2473375537009782,-4503599627370496
67,144,14,1,2,1,3,2,3,0,2,0,2,1,2,3118666470645562,-466904186519857,4503599627370496,-1726166068080090,-1999680520608346
68,145,13,1,2,0,2,3,3,0,2,0,2,1,2,2453457373223938,-2401773757463684,3638262062011605,-4503599627370496,793703538184603
69,147,12,1,2,0,2,1,2,1,2,0,2,0,2,464105300867280,-4503599627370496,3118168570584068,964137712764921,-135496885550250
70,150,14,1,2,0,3,2,3,1,2,0,2,1,2,1096674786264568,-1443903134549213,597457859438740,86596627439145,-2251799813685248
71,152,15,1,2,0,3,3,3,2,3,0,2,1,2,4503599627370496,-2646136767503342,1209657342313220,-924650304967530,-3127307877006607
72,153,15,1,2,0,3,3,3,3,3,0,2,1,2,4503599627370496,-1740879200094944,1716729051389394,673506122202174,-202120722288601
73,154,13,1,2,1,3,1,2,1,2,0,2,1,2,3503370805325055,-2051013974479482,4503599627370496,2248431313625695,-362374367345873
74,158,13,1,2,1,2,2,3,0,2,0,2,0,2,-469504846299312,-1693824492722774,2251799813685248,-1756944099353399,765229060864417
75,161,15,2,3,2,3,3,3,0,2,0,2,0,2,4503599627370496,-4413137437377032,-212963080219555,-38536666236420,3648005999860891
76,162,15,3,3,2,3,3,3,0,2,0,2,0,2,473519078445973,-2251799813685248,728603600178665,-1275727375529551,235570404158710
77,164,15,2,3,3,3,3,3,0,2,0,2,0,2,2537111104977352,-3061683999522009,-3291256112159416,-4503599627370496,3101112402912550
78,165,15,3,3,3,3,3,3,0,2,0,2,0,2,936617133497185,-1959858163185127,692767773575078,-4503599627370496,-1048317530379850
79,166,12,1,2,1,2,1,2,0,2,0,2,1,2,1557987981740333,-1607307561699334,4503599627370496,-2855795212859464,-829176446649644
80,169,13,1,2,1,2,2,3,1,2,0,2,0,2,-3458894783938052,-979963635353843,4024670534398456,1049025430992310,4503599627370496
81,172,15,2,3,2,3,3,3,1,2,0,2,0,2,1411151488612726,-4503599627370496,105388515685726,3502146241629139,4228661184399975
82,173,15,3,3,2,3,3,3,1,2,0,2,0,2,-2059771716534435,-4503599627370496,174510269378821,-1907217413108379,2762634868740698
83,176,16,2,3,3,3,3,3,1,2,0,3,0,2,-405068116439457,-1706142751864458,-1100083247762443,-1378519357270984,2251799813685248
84,177,16,2,3,3,3,3,3,1,2,1,3,0,2,-1815572889234104,-4503599627370496,-2524706476426512,-2026534190867321,873290957940345
85,179,16,3,3,3,3,3,3,1,2,0,2,0,3,-1818172282778733,-4503599627370496,-937741277760336,-3867919280218810,2316188374728732
86,181,17,3,3,3,3,3,3,2,3,0,2,1,3,-1564017077737663,-4503599627370496,1642073536230737,-4348662016139943,1729956054982542
87,182,17,3,3,3,3,3,3,3,3,0,2,1,3,-3023332570265088,-4503599627370496,509071988954349,-3219815821958738,4191313605062343
88,185,14,1,2,2,3,2,3,1,2,0,2,1,2,2775113256161302,-750973555199228,4503599627370496,2505773466827284,1062197253562419
89,186,14,1,2,3,3,2,3,1,2,0,2,1,2,904811087768672,403567279500656,2624014672047184,1092956980281165,4503599627370496
90,188,14,1,2,2,3,3,3,1,2,0,2,1,2,412765549455892,-2640106208006056,3532443169776979,1307706782689950,4503599627370496
91,191,16,2,3,3,3,3,3,1,2,0,3,1,2,0,0,0,0,1
92,192,16,2,3,3,3,3,3,1,2,1,3,1,2,1526385720688974,-2728792487845894,1373899658497125,611632142165482,4503599627370496
93,193,15,3,3,3,3,3,3,1,2,0,2,1,2,43837947786873,-1297459886116993,2148910303945614,-861558139858781,2251799813685248
94,197,10,0,1,0,1,0,2,0,2,1,2,0,2,3234879315434870,-1051044958013183,4503599627370496,-3740298712780076,3718813976542422
95,201,13,0,2,0,2,1,2,0,3,1,2,0,2,4503599627370496,-86722053902350,1337934915614679,-612312147665279,3584250142777758
96,202,13,0,2,0,2,1,2,1,3,1,2,0,2,1,0,0,0,0
